"Volume","Good Type","Business Type","Start Business ID","End Business ID","Distance","Price"
5,1,1,19,19,3739.25,30
12,3,1,26,31,27920,360
10,1,1,5,4,23567.6666666667,300
10,1,1,22,17,11977.0833333333,118
8,1,1,6,6,2554.08333333333,71.8
5,1,1,24,27,9265.08333333333,80
15,3,1,26,19,794.583333333333,14
5,3,2,27,14,26792.6666666667,36
10,1,1,11,7,33841.9166666667,520
5,1,1,22,5,23450.75,118
10,1,1,16,24,21291.75,150
10,3,1,32,32,160.916666666667,22
1,1,1,26,20,6849.33333333333,52
12,3,1,10,19,19707.5,160
9,4,1,5,8,8226.25,118
12,5,1,32,6,13849.5,242
5,1,1,19,27,5129.25,35
12,3,1,32,19,2514.58333333333,69.8
16,1,1,3,3,1182.5,34
14,1,1,22,22,3589.25,36
8,1,1,20,20,3802.75,52
12,3,1,26,3,10080.4166666667,170
12,5,1,22,7,15817.9166666667,296
8,1,1,26,32,1600.83333333333,24
5,1,1,22,19,13501.6666666667,62
12,3,1,12,22,25713.9166666667,364.2
16,1,1,21,30,9298.33333333333,600
12,3,1,6,26,15364.3333333333,163.8
11,5,1,17,20,4086.75,70
12,3,1,32,24,7677,96
12,5,1,26,15,23185.8333333333,308
8,1,1,1,19,2925.83333333333,120
1,5,1,17,17,2473.5,20
8,1,1,4,4,2956.75,33.8
1,1,1,22,17,11751.4166666667,58
2,5,1,9,19,18697.75,94
1,1,1,22,5,24485,86
16,1,1,32,28,11679.5833333333,188
8,1,1,6,16,10956.3333333333,240
5,5,1,32,5,13028.9166666667,72
5,1,1,22,22,3360.16666666667,32
5,1,2,27,19,5540.41666666667,16
10,1,1,22,5,25036.75,436.4
1,5,1,26,19,5135.08333333333,34
12,3,1,1,24,16157.4166666667,240
16,1,1,24,1,15427,224
8,5,1,1,1,2268,38
12,5,1,26,22,16261.5,240
8,5,1,26,24,10975.3333333333,84
16,3,1,17,17,1881.75,55
10,1,1,1,22,8927.75,173
2,2,1,32,32,1425.16666666667,14
8,1,1,17,17,1080.58333333333,30
8,3,1,32,32,2861.91666666667,26
2,3,1,32,24,6219.33333333333,32
10,1,1,5,21,5614,60
12,3,1,26,25,22583.5833333333,326
12,3,1,26,3,10080.4166666667,170
10,1,1,19,24,10000.0833333333,75.6
8,1,2,22,32,17750.1666666667,40
5,1,2,8,22,29464.3333333333,110
5,1,1,8,19,21276.4166666667,166
16,1,1,22,16,17032,500
8,1,1,4,5,26895.0833333333,260
5,1,2,3,9,4048.83333333333,32.4
8,1,1,1,19,8354.83333333333,72
8,1,1,28,22,9090.5,105.8
1,5,1,28,27,5966.75,30
4,3,1,32,19,3023.33333333333,28
5,1,2,10,25,3923.41666666667,16
5,3,1,17,22,12108.3333333333,120
10,1,2,24,8,10702.25,32
10,3,1,32,32,1279.83333333333,36
10,1,1,17,13,16585.6666666667,150
8,1,1,8,8,205.583333333333,15
8,5,1,5,30,1419.33333333333,22
14,5,1,32,1,10761.0833333333,131.6
12,1,1,24,32,9989.5,148.8
12,3,1,32,17,8975.33333333333,144
10,1,1,1,22,7393.16666666667,106
13,1,2,28,28,4715,138
8,1,1,22,22,5151,49
12,3,1,14,14,1540.25,402
12,3,1,32,3,7000.83333333333,110
12,3,1,22,18,2044.33333333333,380
16,1,1,19,11,13588.8333333333,100
12,5,1,17,22,11475.8333333333,148
14,1,1,1,32,11780.6666666667,74
12,5,1,22,5,24260,189
12,3,1,1,32,11230.0833333333,150
12,5,1,3,8,15695.8333333333,235
8,1,1,32,3,8420.66666666667,84
8,1,1,32,24,3686.5,33
12,3,1,22,23,50952.6666666667,680
6,2,1,32,26,3066.5,24
8,1,1,22,1,8240.5,100
12,3,1,19,13,26681.5,276
8,5,1,32,19,2507.25,32
2,5,1,22,22,5466.08333333333,54
5,1,1,27,13,18046.8333333333,79
5,1,1,26,7,25427.8333333333,184
2,5,1,19,19,3071.33333333333,28
8,5,1,32,8,18300.4166666667,156
12,5,1,7,7,6142.16666666667,168
8,1,3,20,32,11055.5,136
16,1,1,1,32,11597.8333333333,93
5,1,1,7,7,2071.33333333333,40
4,1,1,17,3,5078.83333333333,38
12,3,1,19,26,2277.08333333333,78
6,5,1,11,26,13195.3333333333,100
8,5,1,32,32,2747.16666666667,26
5,1,1,17,17,849,18
8,1,1,32,24,7114.58333333333,56
10,1,1,3,11,4550.33333333333,67
12,5,1,25,11,19844.25,200
10,3,1,19,1,8868,160
5,5,1,24,22,21365.5833333333,25
10,1,1,22,19,14770.3333333333,164
10,1,1,1,32,12848.4166666667,168
10,5,1,11,9,2813.25,36
10,1,1,11,11,3693,60
8,1,1,19,32,2241.83333333333,30
8,1,1,22,1,3326.66666666667,31
1,1,1,26,27,6951,32
8,1,1,22,19,16202.0833333333,110
1,5,1,26,27,4948.58333333333,36
0,1,2,17,5,12917.8333333333,20
12,3,1,32,32,1472.91666666667,46
12,3,1,32,20,4947.91666666667,103
12,3,1,19,27,5236.25,60
8,1,1,10,27,12787.4166666667,126
12,3,1,22,22,1718.25,46
5,1,2,11,17,14008.3333333333,62
12,5,1,1,22,7791.16666666667,112
8,5,1,32,19,2845.66666666667,34
5,1,1,17,17,160.833333333333,12
8,3,1,17,22,11533.0833333333,270
12,5,1,11,22,22599.1666666667,238
5,1,1,22,20,10559.6666666667,52
1,1,1,19,7,27009.0833333333,94
1,1,1,27,30,8746.41666666667,44
9,5,1,22,4,5989.16666666667,64
8,5,1,19,3,12340,116
16,1,1,32,24,8855.08333333333,78
10,1,1,24,25,18153.5833333333,296
8,1,3,27,22,13307.0833333333,160
5,5,1,32,32,965.5,16
10,3,1,19,19,2611.91666666667,70
8,1,1,22,18,6189.08333333333,70
16,3,1,32,28,11679.5833333333,180
8,1,1,25,17,11076.5833333333,115.6
10,3,1,32,32,1107.08333333333,33
5,1,1,17,9,12343.1666666667,80
10,1,1,5,9,5921.25,54
8,1,1,25,16,7499.41666666667,144
16,1,1,31,31,1388.25,29.6
16,1,1,30,22,25110.5833333333,359
10,5,1,22,4,6343.25,108
10,1,4,22,5,25576.6666666667,170
12,5,1,11,7,26450.9166666667,370
1,5,1,19,26,2556.08333333333,18
12,5,1,32,22,16971.75,266
10,1,1,30,24,6127.41666666667,84
12,5,1,7,25,9772.08333333333,140
10,1,1,22,8,31197.75,240
3,3,1,27,27,2713.08333333333,27.8
12,5,1,10,17,9953.41666666667,206
12,3,1,1,4,13738.1666666667,400
12,3,1,25,7,10734.5,198
10,3,1,32,4,19188.1666666667,270
14,5,1,22,22,1399.16666666667,20
12,3,1,1,24,16605.4166666667,210
10,1,1,21,30,11926.5833333333,421.2
10,1,1,4,9,27094.75,270
8,5,1,32,32,1119.33333333333,19
12,3,1,22,32,16538.1666666667,176
8,1,1,22,18,6589.08333333333,86
8,5,1,22,22,282,12
10,1,1,22,11,18663.3333333333,216
12,3,1,32,5,13146.25,162
